pl	lx	note
Ty partykuła posiadania/określenia ciąża.	nio zhai shuang-lai.	synthetic
Jeśli ty jeść patogen wilgoci, ty pić woda.	jiao nio ji pa-nue, nio ju zhe.	synthetic
Jeśli ja jeść odcinać, ja pić woda.	jiao ao ji zeng-ai, ao ju zhe.	synthetic
On/ona słuchać zacząć	cou fu te mo	synthetic
Ja partykuła posiadania/określenia oślepić wzrok.	ao zhai pie-qin.	synthetic
Jeśli on/ona jeść babcia od matki, on/ona pić woda.	jiao cou ji ei-ma, cou ju zhe.	synthetic
My pić czoło.	lano ju geng-guo.	synthetic
Ty negacja (nie) jeść dolina.	nio daoo ji guo-guang.	synthetic
Ja partykuła posiadania/określenia decydować.	ao zhai yu-kao.	synthetic
Jeśli ja jeść ukryty smok, czający się tygrys (idiom), ja pić woda.	jiao ao ji tigo-ge, ao ju zhe.	synthetic
Jeśli ja jeść klient, ja pić woda.	jiao ao ji nu-lin, ao ju zhe.	synthetic
Ja wiedzieć zdanie	ao ga lue-zhen mo	synthetic
On/ona jeść siódmy.	cou ji yue-cu.	synthetic
On/ona partykuła posiadania/określenia złoto.	cou zhai huaio.	synthetic
On/ona partykuła posiadania/określenia kaczka mandarynka (para).	cou zhai yamo-ma.	synthetic
Ja negacja (nie) słuchać pustynia.	ao daoo fu gu-ruo.	synthetic
On/ona wiedzieć starszy współuczeń (mężczyzna)	cou ga ma-xie mo	synthetic
My mówić kciuk	lano bi shai-lou mo	synthetic
Jeśli on/ona jeść czysty, on/ona pić woda.	jiao cou ji cha-hui, cou ju zhe.	synthetic
Jeśli ty jeść rząd, ty pić woda.	jiao nio ji dai-ran, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia każdy.	ao zhai kun.	synthetic
Jeśli my jeść dzika trawa, my pić woda.	jiao lano ji xino-piao, lano ju zhe.	synthetic
Ty partykuła posiadania/określenia ogień wątroby.	nio zhai kuan-ni.	synthetic
Ty negacja (nie) słuchać starożytna.	nio daoo fu hun-bang.	synthetic
On/ona partykuła posiadania/określenia próby, trudne testy.	cou zhai kuo-nie-gui.	synthetic
Jeśli my jeść gołąb, my pić woda.	jiao lano ji geo-ku, lano ju zhe.	synthetic
On/ona negacja (nie) jeść dzieło, utwór.	cou daoo ji juan-tuo.	synthetic
Ja partykuła posiadania/określenia rozpatrywać.	ao zhai ye-fen.	synthetic
Ja partykuła posiadania/określenia czcigodny (dla władców/bóstw).	ao zhai si-mu.	synthetic
Ja partykuła posiadania/określenia tym razem.	ao zhai tan-guai.	synthetic
Ja partykuła posiadania/określenia jabłko.	ao zhai guoo-shang.	synthetic
On/ona partykuła posiadania/określenia sprzeczność.	cou zhai lei-bo.	synthetic
Ty partykuła posiadania/określenia tysiąc.	nio zhai tang-nin.	synthetic
On/ona negacja (nie) wiedzieć pochodzić z / wywodzić się.	cou daoo ga rǎo-ci.	synthetic
On/ona mówić trzeci.	cou bi se-duan.	synthetic
My wiedzieć pozdrawiać	lano ga pai-yu mo	synthetic
On/ona mówić kroić.	cou bi qiao-pao.	synthetic
Jeśli on/ona jeść bezpieczeństwo, on/ona pić woda.	jiao cou ji diao-eng, cou ju zhe.	synthetic
Ty partykuła posiadania/określenia głęboki.	nio zhai cui-ca.	synthetic
Ty jeść lakiernik.	nio ji miao-ao.	synthetic
Jeśli my jeść narracja, opowiadanie, my pić woda.	jiao lano ji chi-cong, lano ju zhe.	synthetic
On/ona jeść osiem	cou ji xun-sun mo	synthetic
Jeśli my jeść trujący grzyb, my pić woda.	jiao lano ji nei-sui, lano ju zhe.	synthetic
Jeśli ja jeść sytuacja, okoliczności, ja pić woda.	jiao ao ji nie-zhuai, ao ju zhe.	synthetic
On/ona negacja (nie) mówić potrząsać, kiwać.	cou daoo bi piao-ju.	synthetic
Jeśli ty jeść tkacz, ty pić woda.	jiao nio ji sa-liu, nio ju zhe.	synthetic
On/ona negacja (nie) słuchać myśleć.	cou daoo fu geo.	synthetic
On/ona mówić sprzeczność	cou bi lei-bo mo	synthetic
On/ona słuchać niemożliwy do...	cou fu qiong-chui mo	synthetic
Jeśli my jeść sposób, metoda, my pić woda.	jiao lano ji chai-mie, lano ju zhe.	synthetic
Jeśli ja jeść jedzenie, ja pić woda.	jiao ao ji shio-deng, ao ju zhe.	synthetic
On/ona wiedzieć staza krwi.	cou ga bi-dan.	synthetic
On/ona partykuła posiadania/określenia krzyczeć, wołać.	cou zhai bian-hen.	synthetic
Jeśli on/ona jeść lato, on/ona pić woda.	jiao cou ji yan-ang, cou ju zhe.	synthetic
Ja pić oddzielać	ao ju tu-zan mo	synthetic
Ja wiedzieć sytuacja, okoliczności.	ao ga nie-zhuai.	synthetic
My negacja (nie) wiedzieć zasady Niebios.	lano daoo ga se-lei.	synthetic
Jeśli on/ona jeść narracja, opowiadanie, on/ona pić woda.	jiao cou ji chi-cong, cou ju zhe.	synthetic
Ja wiedzieć machać ręką	ao ga kun-beng mo	synthetic
Jeśli ja jeść suknia ślubna, ja pić woda.	jiao ao ji bie-pang, ao ju zhe.	synthetic
On/ona słuchać wóz, pojazd	cou fu quan-wa mo	synthetic
On/ona wiedzieć ząb.	cou ga chun.	synthetic
On/ona negacja (nie) jeść patogen wilgoci.	cou daoo ji pa-nue.	synthetic
Ty partykuła posiadania/określenia płatek.	nio zhai tu-pi.	synthetic
Ja jeść planować	ao ji shen-jing mo	synthetic
Ty partykuła posiadania/określenia zazwyczaj.	nio zhai man-bei.	synthetic
Ja negacja (nie) wiedzieć woda.	ao daoo ga zhe.	synthetic
Ty pić terapia	nio ju yang-zhai mo	synthetic
Ty partykuła posiadania/określenia trochę.	nio zhai xun.	synthetic
My jeść decydować.	lano ji yu-kao.	synthetic
Jeśli ty jeść walczyć, ty pić woda.	jiao nio ji nu, nio ju zhe.	synthetic
My partykuła posiadania/określenia wszystko.	lano zhai wano.	synthetic
Ja partykuła posiadania/określenia dać.	ao zhai dio.	synthetic
Ty partykuła posiadania/określenia pięćdziesiąt.	nio zhai gui-nin.	synthetic
Ty wiedzieć meteor, spadająca gwiazda.	nio ga guango-sun.	synthetic
Ty partykuła posiadania/określenia piżama.	nio zhai zhan-chong.	synthetic
On/ona słuchać oddzielać	cou fu tu-zan mo	synthetic
Ty partykuła posiadania/określenia często.	nio zhai nang-diao.	synthetic
Jeśli ty jeść dużo, ty pić woda.	jiao nio ji gaoo, nio ju zhe.	synthetic
Ty negacja (nie) wiedzieć słuchać.	nio daoo ga fu.	synthetic
Jeśli ja jeść natychmiast, ja pić woda.	jiao ao ji zei-shi, ao ju zhe.	synthetic
On/ona negacja (nie) mówić jajko stulecia.	cou daoo bi guai-can.	synthetic
Ja mówić pięta.	ao bi chou-a.	synthetic
On/ona negacja (nie) jeść złoto.	cou daoo ji huaio.	synthetic
Jeśli my jeść zazwyczaj, my pić woda.	jiao lano ji man-bei, lano ju zhe.	synthetic
Ja mówić pokorny sługa (o sobie).	ao bi kei-hou.	synthetic
Ja słuchać nadmiernie.	ao fu nang-niang.	synthetic
Jeśli ty jeść zamiatać podłogę, ty pić woda.	jiao nio ji pen-xin, nio ju zhe.	synthetic
Ty pić żółty ziemisty.	nio ju nou-gang.	synthetic
My partykuła posiadania/określenia pusty.	lano zhai hua.	synthetic
On/ona negacja (nie) pić nóż.	cou daoo ju bang.	synthetic
Ty mówić kaszleć	nio bi xue-kuan mo	synthetic
My negacja (nie) pić jadeitowa Rzeka.	lano daoo ju heo-ha.	synthetic
Ja wiedzieć czarny wojownik (kierunek północ), żółw i wąż.	ao ga sheo-da.	synthetic
My wiedzieć patogen wilgoci.	lano ga pa-nue.	synthetic
Ty negacja (nie) jeść żółty ziemisty.	nio daoo ji nou-gang.	synthetic
Ty jeść patogen wilgoci	nio ji pa-nue mo	synthetic
My jeść starożytna.	lano ji hun-bang.	synthetic
On/ona negacja (nie) jeść zamiatać podłogę.	cou daoo ji pen-xin.	synthetic
Ty partykuła posiadania/określenia jedwab.	nio zhai geng-xi.	synthetic
Ja partykuła posiadania/określenia ziemia orna.	ao zhai diio-rui.	synthetic
Jeśli my jeść dziecko, my pić woda.	jiao lano ji reno, lano ju zhe.	synthetic
Ja jeść degustować	ao ji ken-qin mo	synthetic
Jeśli my jeść moneta miedziana, my pić woda.	jiao lano ji bin-hei, lano ju zhe.	synthetic
Ty negacja (nie) mówić zdolność.	nio daoo bi ti-de.	synthetic
Ty wiedzieć leżeć na plecach.	nio ga xing-wan.	synthetic
Jeśli ja jeść pielęgniarka, ja pić woda.	jiao ao ji nian-de, ao ju zhe.	synthetic
My słuchać tańczyć.	lano fu lao-za.	synthetic
My negacja (nie) słuchać Ministerstwo Wojny.	lano daoo fu lao-ceng.	synthetic
Jeśli ja jeść szorować, ja pić woda.	jiao ao ji cong-lou, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć czarna herbata.	cou daoo ga gango-min.	synthetic
On/ona jeść przyjmować (gości).	cou ji gao-feng.	synthetic
Ty negacja (nie) mówić moneta miedziana.	nio daoo bi bin-hei.	synthetic
Jeśli ja jeść ogień, ja pić woda.	jiao ao ji zha, ao ju zhe.	synthetic
Ja negacja (nie) mówić pasmo górskie.	ao daoo bi he-shuang.	synthetic
Ty pić liście herbaty.	nio ju qiu-pang.	synthetic
Ja pić zdrowy	ao ju qin mo	synthetic
My jeść zamiatać podłogę	lano ji pen-xin mo	synthetic
Jeśli ja jeść tłumacz, ja pić woda.	jiao ao ji nei-he-ren, ao ju zhe.	synthetic
On/ona negacja (nie) wiedzieć woda.	cou daoo ga zhe.	synthetic
Ty partykuła posiadania/określenia patogen wilgoci.	nio zhai pa-nue.	synthetic
Jeśli my jeść marchew, my pić woda.	jiao lano ji caio-pian, lano ju zhe.	synthetic
Jeśli on/ona jeść pośladki, on/ona pić woda.	jiao cou ji xiaoo-ri, cou ju zhe.	synthetic
My słuchać zdanie	lano fu lue-zhen mo	synthetic
Ty wiedzieć słońce	nio ga guango mo	synthetic
My wiedzieć kontynuować.	lano ga bie-seng.	synthetic
My słuchać walka	lano fu luo-di mo	synthetic
My partykuła posiadania/określenia pokwitowanie.	lano zhai kang-hen.	synthetic
Ty partykuła posiadania/określenia marchew.	nio zhai caio-pian.	synthetic
My słuchać ochrona środowiska	lano fu wen-dai mo	synthetic
My pić mały upał	lano ju ding-zei mo	synthetic
Ja partykuła posiadania/określenia za każdym razem.	ao zhai nuo-er.	synthetic
Ja mówić czekać.	ao bi wa.	synthetic
Jeśli my jeść pocieszenie, ukojenie, my pić woda.	jiao lano ji yin-gai, lano ju zhe.	synthetic
Ty słuchać wózek.	nio fu zan-ning.	synthetic
Jeśli on/ona jeść zaparzać herbatę, on/ona pić woda.	jiao cou ji pang-kuan, cou ju zhe.	synthetic
Ja partykuła posiadania/określenia tamci.	ao zhai hu-dou.	synthetic
Ja pić kruchy, delikatny.	ao ju xin-pan.	synthetic
Ty wiedzieć tratwa	nio ga ke-yun mo	synthetic
My partykuła posiadania/określenia drabina.	lano zhai xian-miao.	synthetic
My partykuła posiadania/określenia żołnierz.	lano zhai fou-bing.	synthetic
Ty negacja (nie) jeść zimny.	nio daoo ji weno-fei.	synthetic
On/ona negacja (nie) pić ogród wewnętrzny.	cou daoo ju san-wo.	synthetic
On/ona negacja (nie) pić palić kadzidło.	cou daoo ju feng-zhuan.	synthetic
Ty negacja (nie) wiedzieć wózek.	nio daoo ga zan-ning.	synthetic
On/ona partykuła posiadania/określenia strażnik, protektor.	cou zhai ding-sang.	synthetic
Ty wiedzieć statek, łódź	nio ga ha-jing mo	synthetic
My mówić jedwab.	lano bi geng-xi.	synthetic
On/ona słuchać przedmiot	cou fu qing-nu mo	synthetic
Ja partykuła posiadania/określenia pośladki.	ao zhai xiaoo-ri.	synthetic
On/ona negacja (nie) jeść pociąg.	cou daoo ji yuan-lan.	synthetic
Ja słuchać sprzeciwiać się.	ao fu shen-shuan.	synthetic
My partykuła posiadania/określenia gubernator.	lano zhai mang-wei.	synthetic
My partykuła posiadania/określenia patogen wilgoci.	lano zhai pa-nue.	synthetic
My negacja (nie) słuchać pozdrawiać.	lano daoo fu pai-yu.	synthetic
Ty partykuła posiadania/określenia gałązki cynamonu.	nio zhai liao-shang.	synthetic
On/ona partykuła posiadania/określenia mistrz (ogólne, szanujące).	cou zhai cheng-chen.	synthetic
Ja jeść zdrowy	ao ji qin mo	synthetic
On/ona pić sąsiad.	cou ju biao-huai.	synthetic
Ty wiedzieć morwa.	nio ga hua-nuan.	synthetic
Ja negacja (nie) słuchać wicehrabia.	ao daoo fu ruo-zei.	synthetic
On/ona negacja (nie) jeść grad.	cou daoo ji nin-lin.	synthetic
On/ona negacja (nie) mówić płatek.	cou daoo bi tu-pi.	synthetic
My partykuła posiadania/określenia ćwiczyć, praktykować.	lano zhai rang-gun.	synthetic
Ja jeść decydować	ao ji yu-kao mo	synthetic
On/ona negacja (nie) wiedzieć niestabilny.	cou daoo ga kan-na-pi.	synthetic
Ty wiedzieć sztorm.	nio ga chai-duan.	synthetic
Ja negacja (nie) jeść trujący grzyb.	ao daoo ji nei-sui.	synthetic
On/ona jeść pięćdziesiąt.	cou ji gui-nin.	synthetic
My mówić klient	lano bi nu-lin mo	synthetic
My wiedzieć deszcz zbóż.	lano ga yuo-ben.	synthetic
Ty partykuła posiadania/określenia łódź rybacka.	nio zhai haio-men.	synthetic
On/ona partykuła posiadania/określenia głodny.	cou zhai pie.	synthetic
Jeśli ja jeść dowódca wojskowy, ja pić woda.	jiao ao ji zhuai-shen, ao ju zhe.	synthetic
My mówić drewno sosnowe	lano bi die-shen mo	synthetic
Jeśli ty jeść obudzić się, ty pić woda.	jiao nio ji ke, nio ju zhe.	synthetic
Ja słuchać pochodzić z / wywodzić się.	ao fu rǎo-ci.	synthetic
On/ona słuchać zakazywać	cou fu ru-lian mo	synthetic
Ty negacja (nie) wiedzieć oślepić wzrok.	nio daoo ga pie-qin.	synthetic
My negacja (nie) słuchać młot.	lano daoo fu liao-ang.	synthetic
Ty negacja (nie) mówić osmanthus.	nio daoo bi xue-yi.	synthetic
My jeść około	lano ji ning-kua mo	synthetic
Ty mówić zdrowy	nio bi qin mo	synthetic
Ty jeść garnitur	nio ji bie-wa mo	synthetic
Jeśli on/ona jeść łabędź, on/ona pić woda.	jiao cou ji cuan-gai, cou ju zhe.	synthetic
Ty słuchać każdy	nio fu kun mo	synthetic
My jeść mało	lano ji min mo	synthetic
My pić zagajnik	lano ju ding-suo mo	synthetic
On/ona mówić jabłko.	cou bi guoo-shang.	synthetic
Ja słuchać tyka, drążek	ao fu miu-nin mo	synthetic
Ja negacja (nie) mówić łódź rybacka.	ao daoo bi haio-men.	synthetic
My słuchać objaśniać	lano fu sang-pi mo	synthetic
My negacja (nie) słuchać niemożliwy do....	lano daoo fu qiong-chui.	synthetic
Ja partykuła posiadania/określenia źrebię.	ao zhai bian-kang.	synthetic
My negacja (nie) wiedzieć wzdychać.	lano daoo ga liao-qiao.	synthetic
My partykuła posiadania/określenia ściereczka do herbaty.	lano zhai wang-cha.	synthetic
On/ona jeść babcia od matki.	cou ji ei-ma.	synthetic
Ja słuchać coś.	ao fu qie.	synthetic
On/ona pić przyszłość	cou ju zhao-ding mo	synthetic
Jeśli ja jeść ciemność, ja pić woda.	jiao ao ji ting-gua, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia płaszcz skórzany.	nio zhai cou-liao.	synthetic
Ja partykuła posiadania/określenia siódmy.	ao zhai yue-cu.	synthetic
On/ona pić zwycięstwo.	cou ju a-qian.	synthetic
Jeśli ja jeść sławny, ja pić woda.	jiao ao ji dong-zei, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia pisać.	nio zhai muo.	synthetic
Ja wiedzieć bogactwo.	ao ga rong-cang.	synthetic
My wiedzieć nierozgarnięty	lano ga gua-bing mo	synthetic
On/ona wiedzieć wielka.	cou ga sun-hui-bu.	synthetic
On/ona jeść żona.	cou ji miao-you.	synthetic
On/ona wiedzieć kałamarnica	cou ga tou-chun mo	synthetic
My pić objaśniać.	lano ju sang-pi.	synthetic
My wiedzieć dzień	lano ga jian mo	synthetic
On/ona partykuła posiadania/określenia rano.	cou zhai jing.	synthetic
Jeśli my jeść garnitur, my pić woda.	jiao lano ji bie-wa, lano ju zhe.	synthetic
Ja jeść syndrom gorąca	ao ji qio-mian mo	synthetic
My pić glina.	lano ju la-sha.	synthetic
On/ona partykuła posiadania/określenia wzdychać.	cou zhai liao-qiao.	synthetic
Jeśli my jeść spichlerz, my pić woda.	jiao lano ji heng-nen, lano ju zhe.	synthetic
On/ona partykuła posiadania/określenia ogień wątroby.	cou zhai kuan-ni.	synthetic
Jeśli ty jeść glina, ty pić woda.	jiao nio ji la-sha, nio ju zhe.	synthetic
Ty partykuła posiadania/określenia szelest.	nio zhai zhen-ba.	synthetic
Ja partykuła posiadania/określenia kapusta chińska.	ao zhai caio-dou.	synthetic
On/ona pić czajnik	cou ju xing-bu-sa mo	synthetic
Ja partykuła posiadania/określenia znaczenie, sens.	ao zhai kun-hong.	synthetic
My jeść aksamitny	lano ji zang-fou mo	synthetic
Ja wiedzieć tkacz	ao ga sa-liu mo	synthetic
Ty mówić tysiąc.	nio bi tang-nin.	synthetic
Ty słuchać widelec.	nio fu chui-nong.	synthetic
On/ona wiedzieć ochrona środowiska	cou ga wen-dai mo	synthetic
Jeśli ja jeść żona wujka, ja pić woda.	jiao ao ji pi-guo, ao ju zhe.	synthetic
My partykuła posiadania/określenia społeczeństwo.	lano zhai jiu-zheng.	synthetic
Jeśli my jeść iść szybko, my pić woda.	jiao lano ji tuan-re, lano ju zhe.	synthetic
On/ona wiedzieć zwierzęta wymarłe	cou ga dongo-lian mo	synthetic
Ja wiedzieć wielka.	ao ga sun-hui-bu.	synthetic
On/ona jeść syndrom nadmiaru	cou ji che-ao mo	synthetic
Ty partykuła posiadania/określenia nierozgarnięty.	nio zhai gua-bing.	synthetic
Ty jeść planować	nio ji shen-jing mo	synthetic
Ty jeść taki sam.	nio ji an-nao.	synthetic
Ja słuchać starożytne Królestwo.	ao fu zan-wa.	synthetic
Jeśli ty jeść bicie dzwonu, ty pić woda.	jiao nio ji shun-you, nio ju zhe.	synthetic
On/ona partykuła posiadania/określenia złamanie.	cou zhai za-ru.	synthetic
Ty negacja (nie) mówić mieć.	nio daoo bi an.	synthetic
Ty mówić pielęgnowanie życia	nio bi xiu-nei mo	synthetic
On/ona mówić dowódca wojskowy	cou bi zhuai-shen mo	synthetic
Ja pić modlić się	ao ju sa-qiao mo	synthetic
Ja partykuła posiadania/określenia łóżko.	ao zhai zhai-lie.	synthetic
Ty pić tłumacz	nio ju nei-he-ren mo	synthetic
Ty wiedzieć leżeć na plecach	nio ga xing-wan mo	synthetic
On/ona jeść młot	cou ji liao-ang mo	synthetic
Jeśli ty jeść żniwa, ty pić woda.	jiao nio ji zhen-zhe, nio ju zhe.	synthetic
Ty negacja (nie) pić technika.	nio daoo ju bang-zang.	synthetic
My słuchać nosorożec	lano fu ruo-nie mo	synthetic
Jeśli my jeść ryż, my pić woda.	jiao lano ji fano, lano ju zhe.	synthetic
Jeśli my jeść wewnętrzna moc, my pić woda.	jiao lano ji xiaoo-ce, lano ju zhe.	synthetic
Ty negacja (nie) jeść mały upał.	nio daoo ji ding-zei.	synthetic
Ty mówić księżniczka.	nio bi guo-jiao.	synthetic
Ty negacja (nie) wiedzieć uczeń, adept.	nio daoo ga ma-cha.	synthetic
On/ona słuchać górska ścieżka.	cou fu sheng-bai.	synthetic
My partykuła posiadania/określenia milion.	lano zhai bai-wan.	synthetic
My słuchać milion	lano fu bai-wan mo	synthetic
Ty wiedzieć niewinny.	nio ga shun-diao.	synthetic
Ja negacja (nie) mówić strażnik, protektor.	ao daoo bi ding-sang.	synthetic
Ty słuchać ochrona środowiska.	nio fu wen-dai.	synthetic
Jeśli ty jeść trochę, ty pić woda.	jiao nio ji xun, nio ju zhe.	synthetic
Ty pić łóżko	nio ju zhai-lie mo	synthetic
On/ona mówić słońce.	cou bi guango.	synthetic
Jeśli ty jeść jaskółka, ty pić woda.	jiao nio ji yeno-cou, nio ju zhe.	synthetic
My jeść słowo.	lano ji jian-ye.	synthetic
Ja partykuła posiadania/określenia jajko stulecia.	ao zhai guai-can.	synthetic
Ja partykuła posiadania/określenia długi.	ao zhai die.	synthetic
My wiedzieć Cesarzowa wdowa	lano ga tie-dei mo	synthetic
On/ona jeść włosy na głowie.	cou ji hen-lun.	synthetic
Jeśli on/ona jeść człowiek, on/ona pić woda.	jiao cou ji que, cou ju zhe.	synthetic
Ty słuchać wznosić (budowlę)	nio fu cheng-lu mo	synthetic
Jeśli ty jeść uporządkowany, schludny, ty pić woda.	jiao nio ji pin-jiang, nio ju zhe.	synthetic
My partykuła posiadania/określenia człowiek.	lano zhai que.	synthetic
My partykuła posiadania/określenia żywy.	lano zhai lue.	synthetic
On/ona mówić dużo.	cou bi gaoo.	synthetic
Ty negacja (nie) pić dorsz żółty.	nio daoo ju dongo-huan.	synthetic
My partykuła posiadania/określenia ukośna w lewo.	lano zhai nin-ding.	synthetic
Ty pić taktyka	nio ju mao-xie mo	synthetic
My negacja (nie) jeść kaszleć.	lano daoo ji xue-kuan.	synthetic
On/ona partykuła posiadania/określenia tęsknić za.	cou zhai lei-zhen.	synthetic
Jeśli my jeść technika, my pić woda.	jiao lano ji bang-zang, lano ju zhe.	synthetic
Jeśli on/ona jeść ceremonia, on/ona pić woda.	jiao cou ji diao-you, cou ju zhe.	synthetic
On/ona partykuła posiadania/określenia zamiatać podłogę.	cou zhai pen-xin.	synthetic
Jeśli ja jeść około, ja pić woda.	jiao ao ji ning-kua, ao ju zhe.	synthetic
My mówić trochę.	lano bi xun.	synthetic
On/ona słuchać dudnienie	cou fu zhuang-gua mo	synthetic
Jeśli my jeść pierś (żeńska), my pić woda.	jiao lano ji ri-xu, lano ju zhe.	synthetic
Ty negacja (nie) mówić kapusta chińska.	nio daoo bi caio-dou.	synthetic
On/ona pić tłumacz.	cou ju nei-he-ren.	synthetic
